Date,R(PETR4.SA),R(VALE3.SA),R(ITUB4.SA),R(BBDC4.SA),R(ABEV3.SA),R(RADL3.SA),R(CMIG4.SA),R(JBSS3.SA),R(ITSA4.SA),R(WEGE3.SA),R(LREN3.SA),R(EMBR3.SA),R(ELET3.SA),R(CPLE6.SA),R(SUZB3.SA),R(^BVSP),Selic
12/01/10,,,,,,,,,,,,,,,,,"10,75%"
01/01/11,"-0,74%","3,11%","-11,16%","-5,83%","-13,37%","-11,78%","2,55%","-12,94%","-11,30%","-9,32%","-15,30%","13,61%","0,75%","2,38%","0,00%","-4,02%","11,25%"
02/01/11,"5,35%","-1,38%","3,89%","-3,30%","-1,38%","5,67%","0,91%","-0,96%","2,93%","0,95%","5,23%","3,56%","4,79%","-1,66%","0,00%","1,21%","11,25%"
03/01/11,"-0,74%","-5,38%","5,01%","8,52%","3,54%","0,47%","11,11%","-5,77%","1,96%","4,39%","3,64%","-3,71%","4,86%","6,26%","0,00%","1,77%","11,75%"
04/01/11,"-10,27%","-2,97%","-4,74%","-3,26%","8,35%","-12,15%","4,12%","-9,24%","-1,88%","-6,15%","9,31%","-8,82%","-7,45%","-3,43%","0,00%","-3,64%","12,00%"
05/01/11,"-6,08%","-3,02%","-3,46%","-1,25%","-2,50%","-0,89%","-8,42%","5,26%","-2,67%","-9,02%","3,05%","1,21%","-2,21%","-4,76%","0,00%","-2,31%","12,00%"
06/01/11,"-1,55%","-1,52%","1,69%","2,17%","4,47%","-5,04%","6,76%","-5,07%","1,51%","-1,12%","-0,59%","-5,00%","-6,98%","1,21%","0,00%","-3,49%","12,25%"
07/01/11,"-0,93%","1,28%","-14,60%","-7,19%","-12,89%","13,59%","-8,18%","-16,10%","-15,58%","-5,19%","-8,19%","-6,15%","-11,83%","-11,48%","0,00%","-5,91%","12,50%"
08/01/11,"-12,20%","-11,24%","-8,79%","-4,68%","18,54%","2,43%","1,08%","-7,01%","-6,86%","1,82%","8,78%","-10,25%","-12,98%","-5,56%","0,00%","-4,04%","12,50%"
09/01/11,"-8,53%","-4,92%","0,69%","-1,58%","1,07%","-10,54%","-6,19%","-16,24%","-0,52%","8,30%","-16,69%","15,13%","-0,62%","-3,19%","0,00%","-7,67%","12,00%"
10/01/11,"12,21%","2,45%","11,93%","12,34%","0,80%","-4,08%","2,03%","41,37%","12,51%","3,05%","2,75%","0,85%","5,93%","1,46%","0,00%","10,88%","11,50%"
11/01/11,"2,15%","-4,83%","-2,57%","-5,64%","6,76%","15,42%","9,18%","8,05%","-2,34%","-7,43%","4,03%","-4,66%","-3,67%","5,90%","22,31%","-2,54%","11,50%"
12/01/11,"-2,57%","-5,43%","6,35%","3,71%","9,60%","2,89%","7,00%","2,16%","6,69%","4,80%","-11,30%","3,90%","7,38%","6,40%","0,00%","-0,21%","11,00%"
01/01/12,"13,39%","12,49%","3,27%","2,09%","-4,88%","11,15%","6,12%","4,97%","1,41%","3,66%","19,78%","2,52%","0,61%","4,15%","0,00%","10,56%","10,50%"
02/01/12,"-1,06%","-2,61%","4,67%","-0,64%","11,13%","14,25%","10,71%","13,31%","4,78%","-1,97%","10,27%","5,96%","3,99%","6,40%","0,00%","4,25%","10,50%"
03/01/12,"-4,03%","-1,50%","-5,22%","2,19%","8,01%","5,98%","10,27%","2,70%","-6,45%","3,60%","-4,19%","13,43%","-8,60%","-1,12%","0,00%","-2,00%","9,75%"
04/01/12,"-9,24%","-0,70%","-15,21%","-4,03%","6,87%","14,60%","7,96%","0,00%","-11,97%","1,70%","-2,31%","11,60%","-5,02%","12,19%","0,00%","-4,26%","9,00%"
05/01/12,"-10,70%","-12,51%","-2,36%","-3,42%","-7,42%","-9,65%","-7,13%","-31,93%","-2,80%","3,22%","-5,23%","-13,60%","-20,57%","-16,32%","0,00%","-12,62%","8,50%"
06/01/12,"-4,71%","6,54%","-3,51%","1,14%","0,91%","8,23%","6,42%","10,11%","-3,58%","-6,51%","-3,14%","-7,15%","7,13%","7,47%","0,00%","-0,25%","8,50%"
07/01/12,"6,62%","-7,72%","13,78%","5,40%","1,79%","14,46%","4,30%","-11,78%","12,27%","-5,16%","8,37%","-1,66%","-0,70%","-4,92%","0,00%","3,15%","8,00%"
08/01/12,"6,26%","-9,51%","-2,40%","3,88%","-0,83%","-8,00%","-12,52%","8,58%","-2,74%","8,24%","8,82%","6,34%","-8,32%","-15,33%","0,00%","1,70%","7,50%"
09/01/12,"7,47%","7,72%","-3,63%","-0,86%","-0,02%","7,53%","-34,11%","14,04%","-3,48%","16,14%","1,45%","-2,83%","-7,33%","-8,68%","0,00%","3,64%","7,50%"
10/01/12,"-7,28%","2,60%","-2,95%","-1,77%","6,88%","-4,12%","-1,15%","-2,26%","-1,45%","-1,24%","10,21%","4,24%","-8,18%","-9,83%","0,00%","-3,63%","7,25%"
11/01/12,"-10,86%","0,40%","7,90%","10,35%","12,89%","-6,23%","5,49%","-19,43%","7,68%","15,53%","3,85%","-7,99%","-37,67%","-5,13%","0,00%","0,71%","7,25%"
12/01/12,"4,51%","11,73%","3,82%","-0,91%","7,44%","9,40%","-12,74%","10,35%","0,83%","-0,92%","2,03%","9,73%","-18,94%","10,64%","0,00%","5,87%","7,25%"
01/01/13,"-7,66%","-4,90%","2,84%","3,99%","7,29%","-3,62%","-4,53%","24,03%","3,95%","-6,66%","-0,05%","12,96%","11,76%","2,80%","0,00%","-1,97%","7,25%"
02/01/13,"-8,48%","-6,30%","2,08%","-3,56%","-3,09%","2,53%","8,13%","-10,64%","2,45%","4,75%","-5,61%","1,63%","-2,42%","-11,70%","0,00%","-3,99%","7,25%"
03/01/13,"10,34%","-7,33%","1,13%","3,73%","-6,35%","-6,89%","0,81%","-0,58%","-0,10%","-1,75%","0,63%","5,98%","-10,62%","4,71%","0,00%","-1,88%","7,25%"
04/01/13,"8,68%","-2,42%","-5,18%","-1,15%","-0,15%","1,91%","7,74%","-6,67%","-3,55%","0,69%","1,00%","-0,96%","-13,88%","15,11%","0,00%","-0,79%","7,50%"
05/01/13,"-0,15%","-11,88%","5,65%","4,10%","0,31%","5,69%","-4,31%","10,69%","4,49%","7,71%","-2,78%","10,57%","3,96%","-8,22%","0,00%","-4,39%","8,00%"
06/01/13,"-21,56%","-5,19%","-11,89%","-17,74%","1,01%","-6,66%","-8,88%","-9,14%","-13,54%","-0,57%","-15,35%","4,41%","-20,09%","-15,84%","0,00%","-12,00%","8,00%"
07/01/13,"0,74%","7,04%","1,28%","-3,72%","3,68%","-10,79%","5,16%","-1,71%","1,93%","-0,53%","-5,63%","-5,12%","-1,09%","0,57%","0,00%","1,62%","8,50%"
08/01/13,"4,21%","10,17%","-0,38%","0,22%","-2,94%","-13,40%","-10,45%","14,45%","0,00%","0,00%","-5,11%","1,43%","8,37%","2,23%","0,00%","3,61%","9,00%"
09/01/13,"7,75%","0,35%","8,04%","9,02%","1,40%","8,24%","2,37%","5,16%","7,26%","-3,64%","10,16%","-9,93%","22,72%","9,53%","0,00%","4,55%","9,00%"
10/01/13,"10,00%","3,68%","9,52%","5,85%","-1,46%","-11,13%","3,67%","3,55%","6,97%","7,49%","6,06%","-8,61%","12,75%","-1,44%","0,00%","3,60%","9,50%"
11/01/13,"-5,94%","0,34%","-4,86%","-3,83%","5,08%","3,00%","-1,67%","4,50%","-3,91%","7,92%","-7,70%","10,39%","-18,18%","1,28%","0,00%","-3,32%","10,00%"
12/01/13,"-11,28%","-0,45%","-2,68%","-6,36%","-1,38%","-13,40%","-6,90%","4,31%","-4,18%","-1,09%","-2,43%","4,05%","-0,85%","-2,81%","0,00%","-1,88%","10,00%"
01/01/14,"-15,01%","-7,74%","-5,81%","-10,62%","-7,37%","-1,71%","-0,57%","-3,72%","-5,54%","-12,86%","-9,58%","-2,68%","-11,74%","-9,26%","0,00%","-7,81%","10,50%"
02/01/14,"-7,85%","-0,15%","3,09%","4,30%","4,79%","12,90%","-3,66%","-11,93%","0,99%","11,01%","4,01%","13,03%","-4,31%","-9,73%","0,00%","-1,15%","10,75%"
03/01/14,"14,94%","-4,91%","8,21%","13,28%","0,41%","17,19%","12,71%","3,41%","8,81%","3,56%","10,71%","-3,45%","27,76%","16,60%","0,00%","6,81%","10,75%"
04/01/14,"4,82%","-6,14%","8,19%","6,31%","-3,78%","-3,26%","5,36%","-0,65%","5,57%","9,85%","2,13%","-4,86%","16,32%","6,68%","0,00%","2,37%","11,00%"
05/01/14,"0,78%","-3,76%","-5,51%","-6,24%","-2,86%","0,00%","-3,22%","-2,76%","-3,91%","-3,40%","3,67%","5,65%","-15,57%","1,12%","0,00%","-0,75%","11,00%"
06/01/14,"3,53%","2,70%","0,99%","2,66%","-0,63%","-4,08%","3,53%","1,32%","1,62%","8,40%","3,96%","-1,03%","-3,99%","4,99%","0,00%","3,70%","11,00%"
07/01/14,"9,96%","10,72%","9,35%","7,68%","-0,57%","3,92%","13,48%","9,41%","8,81%","-3,93%","-3,30%","6,52%","-2,22%","3,82%","0,00%","4,88%","11,00%"
08/01/14,"20,13%","-10,86%","14,37%","17,28%","4,37%","14,32%","4,14%","19,13%","14,31%","2,72%","11,44%","1,02%","26,79%","12,48%","0,00%","9,33%","11,00%"
09/01/14,"-25,57%","-8,39%","-17,94%","-16,62%","-2,04%","-4,44%","-25,01%","-9,98%","-16,66%","2,19%","-7,74%","10,38%","-21,95%","-17,91%","0,00%","-12,45%","11,00%"
10/01/14,"-16,88%","-7,14%","8,17%","6,88%","2,22%","7,14%","-5,20%","18,87%","6,47%","2,28%","4,30%","-0,66%","-5,32%","3,74%","0,00%","0,94%","11,25%"
11/01/14,"-17,40%","-7,09%","5,22%","6,01%","2,17%","8,27%","-0,35%","7,49%","5,99%","4,15%","2,99%","-1,47%","-3,43%","1,89%","0,00%","0,06%","11,25%"
12/01/14,"-24,70%","-6,11%","-11,20%","-12,25%","-2,48%","3,70%","-7,62%","-6,15%","-11,17%","0,43%","0,03%","3,33%","-3,56%","2,80%","0,00%","-8,90%","11,75%"
01/01/15,"-18,93%","-16,32%","-5,04%","-3,87%","7,88%","1,95%","-9,83%","1,24%","-2,70%","4,72%","-8,13%","-2,91%","-12,28%","-14,74%","0,00%","-6,40%","12,25%"
02/01/15,"14,03%","13,27%","10,38%","10,86%","3,44%","9,76%","8,60%","8,94%","10,12%","-4,79%","17,63%","4,77%","4,20%","9,27%","0,00%","9,50%","12,25%"
03/01/15,"1,15%","-16,93%","-3,31%","-5,86%","0,92%","0,49%","-1,24%","13,48%","-1,10%","3,91%","7,66%","-1,42%","7,38%","-1,29%","0,00%","-0,84%","12,75%"
04/01/15,"30,16%","23,31%","8,73%","8,53%","2,51%","17,48%","12,66%","8,83%","6,12%","0,88%","14,60%","-4,37%","23,69%","0,00%","0,00%","9,47%","13,25%"
05/01/15,"-5,75%","-12,19%","-11,54%","-13,20%","-2,24%","4,30%","-2,58%","0,96%","-8,95%","6,40%","1,89%","1,52%","-12,38%","-3,79%","0,00%","-6,37%","13,25%"
06/01/15,"2,88%","-9,19%","-0,32%","0,81%","2,45%","12,72%","-17,87%","4,44%","1,02%","10,59%","5,41%","-0,84%","-9,25%","6,92%","0,00%","0,61%","13,75%"
07/01/15,"-19,04%","-2,32%","-3,36%","-3,40%","2,50%","6,86%","-22,82%","-5,98%","-5,89%","-1,59%","-3,70%","1,01%","-1,54%","2,82%","0,00%","-4,26%","14,25%"
08/01/15,"-13,23%","0,28%","-12,48%","-17,58%","-1,97%","-8,70%","-22,74%","-8,53%","-14,31%","-11,07%","-10,01%","-3,93%","-15,07%","-14,90%","0,00%","-8,70%","14,25%"
09/01/15,"-23,85%","-7,77%","-0,15%","-7,33%","1,71%","-1,52%","-7,31%","17,17%","-1,94%","-8,08%","-6,85%","10,41%","5,28%","5,16%","0,00%","-3,42%","14,25%"
10/01/15,"6,29%","2,85%","-0,15%","-1,98%","-1,71%","2,25%","2,40%","-16,46%","0,84%","-7,04%","0,54%","10,35%","-4,48%","-0,43%","0,00%","1,78%","14,25%"
11/01/15,"-0,52%","-25,88%","4,87%","0,57%","-2,39%","-0,85%","-8,14%","-13,74%","0,69%","5,41%","-5,56%","7,23%","14,27%","-12,43%","0,00%","-1,65%","14,25%"
12/01/15,"-13,52%","-1,07%","-5,40%","-9,12%","-4,33%","-11,11%","-7,39%","-0,57%","-5,24%","-1,66%","-2,31%","-0,69%","-0,52%","-16,64%","0,00%","-4,00%","14,25%"
01/01/16,"-32,52%","-29,31%","-5,38%","-6,04%","4,44%","15,62%","-3,65%","-13,41%","0,00%","3,35%","3,67%","-4,85%","1,04%","-9,72%","0,00%","-7,03%","14,25%"
02/01/16,"6,01%","19,48%","1,79%","16,19%","-5,62%","10,36%","-0,68%","5,41%","-0,88%","-15,88%","1,45%","4,89%","-2,43%","4,78%","0,00%","5,74%","14,25%"
03/01/16,"48,04%","24,91%","20,60%","23,75%","6,37%","12,58%","32,08%","-4,58%","18,06%","6,32%","14,41%","-23,61%","15,47%","21,26%","0,00%","15,67%","14,25%"
04/01/16,"20,79%","26,21%","5,18%","5,15%","3,09%","5,34%","-16,64%","-18,62%","5,82%","7,74%","-0,10%","-14,80%","16,12%","-1,05%","0,00%","7,42%","14,25%"
05/01/16,"-24,09%","-32,55%","-12,35%","-12,75%","-1,45%","4,79%","-19,61%","10,09%","-9,77%","-5,34%","0,62%","-9,00%","2,66%","-17,86%","0,00%","-10,63%","14,25%"
06/01/16,"15,84%","13,47%","4,21%","9,93%","-0,31%","8,94%","25,70%","0,00%","6,11%","-4,62%","12,53%","-7,17%","47,31%","21,02%","0,00%","6,11%","14,25%"
07/01/16,"23,12%","12,84%","10,90%","11,89%","-1,32%","4,85%","22,20%","8,62%","9,66%","10,56%","14,04%","-16,55%","31,70%","9,56%","0,00%","10,63%","14,25%"
08/01/16,"7,93%","-8,81%","5,92%","2,44%","2,05%","-10,49%","-3,81%","13,70%","2,83%","7,93%","-6,17%","-3,43%","24,52%","2,49%","0,00%","1,03%","14,25%"
09/01/16,"5,45%","5,01%","-0,92%","2,08%","3,23%","10,49%","-1,96%","-5,59%","-3,07%","6,61%","-4,63%","-2,26%","-15,68%","2,01%","0,00%","0,80%","14,25%"
10/01/16,"26,51%","21,49%","17,33%","11,96%","-5,12%","6,68%","12,78%","-19,66%","12,39%","-0,34%","9,84%","20,22%","20,74%","8,33%","0,00%","10,65%","14,00%"
11/01/16,"-10,04%","23,97%","-8,08%","-11,69%","-9,35%","-9,42%","-21,04%","0,51%","-9,20%","-12,26%","-18,32%","-3,44%","7,91%","-23,31%","0,00%","-4,76%","14,00%"
12/01/16,"-7,32%","-8,86%","-4,53%","-2,55%","-4,47%","-5,25%","-2,43%","15,53%","-3,91%","-0,45%","3,02%","-3,50%","-11,73%","-5,65%","0,00%","-2,75%","13,75%"
01/01/17,"1,00%","22,56%","9,54%","12,01%","4,76%","6,81%","17,01%","4,29%","11,40%","2,61%","3,02%","11,78%","-9,08%","16,13%","0,00%","7,12%","13,00%"
02/01/17,"1,06%","1,66%","7,22%","2,18%","3,65%","-9,78%","15,66%","-1,69%","8,53%","6,51%","6,76%","-0,39%","3,12%","4,71%","0,00%","3,03%","12,25%"
03/01/17,"-4,65%","-9,38%","-5,47%","-3,16%","2,22%","-1,24%","-3,52%","-13,62%","-5,53%","2,44%","8,44%","-3,06%","-22,85%","-2,89%","0,00%","-2,55%","12,25%"
04/01/17,"-3,65%","-8,11%","3,53%","3,13%","0,11%","13,95%","-15,03%","0,59%","4,02%","1,71%","6,21%","-12,41%","5,46%","-11,55%","0,00%","0,64%","11,25%"
05/01/17,"-7,50%","-1,10%","-9,93%","-9,86%","2,43%","6,53%","-15,04%","-24,11%","-9,99%","7,09%","-1,96%","4,14%","-27,27%","-4,63%","0,00%","-4,20%","11,25%"
06/01/17,"-4,66%","6,52%","3,32%","2,26%","-2,16%","-2,66%","5,60%","-21,17%","0,78%","-7,09%","3,76%","-5,65%","-9,93%","-12,69%","0,00%","0,30%","10,25%"
07/01/17,"7,17%","7,63%","1,54%","7,00%","4,49%","-1,60%","5,30%","16,48%","2,52%","6,77%","6,78%","4,14%","8,10%","5,47%","0,00%","4,69%","9,25%"
08/01/17,"2,67%","11,40%","7,81%","10,64%","3,64%","0,51%","-1,66%","11,86%","9,78%","7,72%","4,34%","12,84%","26,63%","10,37%","0,00%","7,19%","9,25%"
09/01/17,"11,41%","-9,60%","7,17%","4,28%","5,77%","7,83%","-4,89%","-1,98%","7,82%","4,49%","16,42%","-0,22%","11,46%","-1,79%","0,00%","4,77%","8,25%"
