Date,R(PETR4.SA),R(VALE3.SA),R(ITUB4.SA),R(BBDC4.SA),R(ABEV3.SA),R(RADL3.SA),R(CMIG4.SA),R(JBSS3.SA),R(ITSA4.SA),R(WEGE3.SA),R(LREN3.SA),R(EMBR3.SA),R(ELET3.SA),R(CPLE6.SA),R(SUZB3.SA),R(^BVSP),Selic
10/01/17,"9,17%","0,72%","-3,04%","-1,06%","-0,67%","4,19%","-0,07%","-11,98%","-5,12%","-0,56%","-4,48%","-13,25%","10,97%","-12,19%","0,00%","0,02%","7,50%"
11/01/17,"-8,65%","9,05%","-1,87%","-6,03%","-1,64%","11,79%","-15,80%","4,79%","-0,96%","7,25%","-1,61%","-0,13%","-16,32%","-7,99%","-13,35%","-3,20%","7,50%"
12/01/17,"4,58%","13,60%","3,12%","3,61%","3,44%","4,23%","4,01%","21,53%","4,15%","5,24%","4,50%","24,53%","3,20%","7,83%","6,52%","5,97%","7,00%"
01/01/18,"20,18%","2,91%","20,48%","18,55%","3,10%","-8,37%","8,77%","2,42%","20,26%","-1,72%","6,46%","0,10%","4,99%","-1,78%","10,02%","10,56%","7,00%"
02/01/18,"8,56%","8,33%","-3,66%","-4,98%","0,23%","-8,26%","9,04%","-1,40%","-0,99%","-1,23%","-9,24%","8,33%","19,75%","3,37%","5,14%","0,67%","6,75%"
03/01/18,"-0,23%","-6,51%","1,83%","1,87%","8,99%","-3,86%","4,17%","-5,82%","4,98%","-3,48%","-0,49%","-0,97%","-16,51%","2,84%","42,77%","-0,13%","6,50%"
04/01/18,"7,03%","14,24%","-0,59%","-3,80%","-3,12%","-8,39%","-1,18%","-6,63%","-1,31%","2,20%","-5,20%","2,70%","-9,64%","2,69%","20,77%","0,87%","6,50%"
05/01/18,"-19,08%","3,95%","-17,13%","-16,98%","-16,96%","-9,94%","-9,80%","2,04%","-19,22%","-3,43%","-9,45%","1,57%","-26,50%","-13,10%","4,85%","-11,51%","6,50%"
06/01/18,"-9,91%","-2,08%","-6,34%","-8,10%","-9,09%","6,42%","-4,94%","4,06%","-10,63%","-5,57%","-1,02%","7,58%","-18,25%","-6,96%","4,25%","-5,34%","6,50%"
07/01/18,"13,73%","10,06%","10,93%","12,66%","7,65%","11,32%","11,99%","-3,06%","12,67%","13,02%","5,01%","-23,13%","34,84%","-6,70%","-0,94%","8,50%","6,50%"
08/01/18,"-2,36%","-2,25%","-6,26%","-7,30%","-2,93%","3,49%","-9,82%","4,13%","-8,30%","3,35%","-8,80%","1,80%","-8,77%","-0,54%","6,01%","-3,26%","6,50%"
09/01/18,"9,08%","10,94%","4,31%","1,02%","-2,74%","-6,12%","-4,10%","-0,21%","5,18%","3,14%","9,18%","1,17%","-1,98%","4,88%","1,61%","3,42%","6,50%"
10/01/18,"26,97%","-5,34%","10,98%","17,93%","-11,55%","-14,23%","43,21%","8,87%","10,69%","-9,28%","19,30%","5,40%","41,55%","20,30%","-23,92%","9,70%","6,50%"
11/01/18,"-8,14%","-7,14%","9,26%","11,45%","3,49%","-1,10%","14,18%","13,83%","9,34%","-1,01%","3,91%","4,07%","3,88%","21,43%","7,73%","2,35%","6,50%"
12/01/18,"-11,56%","-3,47%","-1,45%","0,49%","-9,54%","-8,35%","8,66%","-1,54%","-2,13%","-1,58%","8,10%","-0,55%","-0,82%","-6,19%","-7,12%","-1,82%","6,50%"
01/01/19,"12,03%","-11,41%","8,84%","15,79%","12,97%","8,15%","-0,07%","26,39%","11,11%","7,15%","7,06%","-11,42%","43,41%","14,48%","18,90%","10,27%","6,50%"
02/01/19,"5,62%","3,46%","-9,60%","-4,50%","-1,61%","5,35%","3,89%","-11,65%","-8,74%","-2,25%","-5,00%","-1,35%","-1,13%","1,21%","3,55%","-1,88%","6,50%"
03/01/19,"3,63%","7,82%","-2,30%","-0,77%","-2,35%","-0,17%","-3,53%","17,01%","-3,20%","-2,31%","1,19%","-3,36%","-0,79%","1,83%","-2,36%","-0,18%","6,50%"
04/01/19,"-3,44%","-1,64%","-1,76%","-0,57%","9,30%","5,71%","5,87%","21,66%","-0,59%","3,17%","6,80%","6,25%","-11,51%","12,39%","-13,36%","0,98%","6,50%"
05/01/19,"-5,93%","-2,22%","3,40%","3,91%","-5,11%","0,40%","0,14%","10,05%","3,95%","2,50%","3,28%","-3,58%","5,10%","15,28%","-23,87%","0,70%","6,50%"
06/01/19,"7,03%","5,60%","3,54%","1,98%","1,92%","9,19%","0,61%","-2,97%","3,96%","11,45%","6,84%","2,40%","2,41%","1,24%","2,37%","3,98%","6,50%"
07/01/19,"-4,97%","-3,96%","-4,05%","-8,98%","11,80%","8,69%","-4,90%","15,99%","-3,31%","10,90%","0,63%","-0,52%","11,10%","1,13%","-6,87%","0,83%","6,50%"
08/01/19,"-2,25%","-8,90%","-2,56%","-4,60%","-7,26%","10,33%","4,29%","17,43%","-1,45%","-5,70%","6,31%","-7,30%","15,38%","5,83%","-5,32%","-0,67%","6,00%"
09/01/19,"7,73%","4,67%","3,16%","2,90%","2,79%","4,01%","-2,96%","10,10%","6,99%","7,41%","-0,16%","-0,22%","-13,47%","-4,90%","14,60%","3,51%","5,50%"
10/01/19,"9,81%","-1,16%","3,37%","3,62%","-10,22%","13,81%","-4,86%","-14,76%","3,94%","5,11%","0,55%","-2,14%","-1,48%","11,52%","-3,05%","2,34%","5,00%"
11/01/19,"-4,17%","5,72%","-4,03%","-5,25%","3,78%","2,68%","-4,50%","0,67%","-3,26%","17,64%","2,05%","2,65%","-12,70%","12,77%","16,67%","0,94%","5,00%"
12/01/19,"3,47%","6,43%","6,40%","8,06%","3,38%","-1,20%","5,52%","-9,88%","6,00%","13,05%","8,13%","9,18%","8,18%","8,80%","2,86%","6,62%","4,50%"
01/01/20,"-5,90%","-5,85%","-12,26%","-9,51%","-4,49%","10,68%","8,08%","6,67%","-9,13%","12,84%","2,22%","-8,40%","3,69%","6,11%","-0,03%","-1,64%","4,50%"
02/01/20,"-11,58%","-12,62%","-2,53%","-7,45%","-20,51%","-3,54%","-6,85%","-19,47%","-6,84%","9,07%","-7,50%","-6,73%","-12,74%","-2,36%","-3,93%","-8,81%","4,25%"
03/01/20,"-59,40%","-2,49%","-32,63%","-38,52%","-19,87%","-16,32%","-44,90%","-10,98%","-31,44%","-25,10%","-46,26%","-57,54%","-36,96%","-29,29%","-6,36%","-35,53%","3,75%"
04/01/20,"25,48%","3,72%","-1,40%","1,41%","-4,99%","2,84%","6,62%","15,88%","2,59%","17,37%","13,45%","-9,79%","1,62%","1,67%","9,64%","9,76%","3,75%"
05/01/20,"11,94%","16,67%","1,18%","-1,05%","9,58%","4,35%","12,62%","-8,17%","-1,57%","4,62%","0,42%","-19,04%","14,27%","15,15%","-4,01%","8,22%","3,00%"
06/01/20,"5,78%","5,36%","9,95%","8,83%","12,49%","1,07%","2,02%","-3,80%","7,92%","19,05%","8,09%","12,35%","10,29%","-4,00%","-2,87%","8,39%","2,25%"
07/01/20,"2,97%","8,22%","5,50%","8,07%","-1,71%","11,50%","8,52%","1,83%","10,67%","28,58%","-1,62%","-6,12%","17,53%","8,75%","13,24%","7,94%","2,25%"
08/01/20,"-1,41%","-1,71%","-13,26%","-7,88%","-12,15%","-14,08%","-9,04%","4,09%","-12,35%","-4,14%","5,53%","-3,61%","-3,95%","-7,18%","17,83%","-3,50%","2,00%"
09/01/20,"-11,00%","-0,96%","-4,56%","-6,63%","1,85%","8,28%","-4,17%","-8,22%","-6,91%","1,66%","-9,20%","-16,24%","-15,80%","0,37%","-9,72%","-4,92%","2,00%"
10/01/20,"-3,48%","2,41%","4,26%","3,79%","-2,91%","2,70%","1,47%","-6,08%","3,24%","14,34%","-5,71%","-3,42%","2,41%","-0,40%","9,42%","-0,69%","2,00%"
11/01/20,"27,36%","25,32%","19,59%","18,68%","13,78%","7,18%","20,88%","17,41%","15,18%","-3,03%","17,65%","29,51%","0,00%","10,02%","12,12%","14,75%","2,00%"
12/01/20,"12,94%","11,44%","10,21%","11,05%","11,28%","-3,18%","14,22%","2,18%","10,32%","2,91%","-2,58%","8,86%","16,60%","9,32%","3,55%","9,14%","2,00%"
01/01/21,"-6,00%","0,57%","-10,98%","-9,26%","-3,51%","-0,48%","-6,09%","2,17%","-10,04%","10,10%","-4,87%","-0,68%","-24,54%","-13,80%","5,82%","-2,80%","2,00%"
02/01/21,"-18,24%","7,20%","-10,36%","-7,29%","-7,49%","-7,02%","-13,58%","6,56%","-6,42%","-7,10%","-12,33%","33,03%","12,19%","-10,83%","16,48%","-5,29%","2,00%"
03/01/21,"8,03%","3,58%","9,05%","15,18%","8,67%","7,58%","8,57%","15,93%","3,65%","-4,57%","14,99%","13,59%","5,58%","19,65%","-6,52%","5,82%","2,75%"
04/01/21,"-2,01%","10,69%","-1,59%","-2,02%","-2,32%","4,83%","6,03%","-0,53%","-2,55%","-6,28%","-4,48%","9,46%","7,10%","-13,01%","0,17%","1,92%","2,75%"
05/01/21,"12,89%","5,15%","7,05%","10,46%","18,35%","6,90%","8,99%","0,43%","7,65%","-2,49%","14,71%","11,52%","17,53%","1,90%","-12,29%","5,98%","3,50%"
06/01/21,"9,10%","-1,34%","0,88%","-2,87%","-5,03%","-13,14%","-11,29%","-3,88%","2,64%","-1,36%","-5,65%","8,80%","-1,54%","-7,31%","-1,53%","0,46%","4,25%"
07/01/21,"-8,95%","-4,05%","1,66%","-5,92%","-2,55%","2,12%","-1,58%","9,66%","0,18%","5,82%","-6,85%","-1,49%","-7,00%","3,15%","-10,09%","-4,02%","4,25%"
08/01/21,"1,04%","-9,73%","2,09%","-4,64%","2,73%","1,26%","12,35%","-2,78%","3,43%","-0,42%","-8,17%","23,10%","-6,73%","11,12%","12,06%","-2,51%","5,25%"
09/01/21,"0,15%","-25,80%","-6,72%","-10,56%","-11,12%","-8,96%","3,78%","17,34%","-3,70%","10,84%","-10,05%","-1,25%","2,31%","6,23%","-11,23%","-6,79%","6,25%"
10/01/21,"-0,29%","-6,27%","-21,60%","-4,57%","10,48%","-0,51%","-8,55%","5,20%","-8,33%","-6,87%","-6,57%","-5,33%","-12,96%","-20,68%","-10,21%","-6,98%","7,75%"
11/01/21,"8,06%","-2,35%","-4,07%","0,05%","-5,63%","-3,81%","2,00%","-9,11%","-5,82%","-13,80%","-2,94%","-13,61%","-3,61%","3,65%","13,17%","-1,54%","7,75%"
12/01/21,"-3,21%","11,85%","-6,08%","-3,58%","-3,81%","8,23%","-0,23%","6,23%","-3,08%","2,63%","-14,74%","26,79%","2,36%","4,77%","6,58%","2,81%","9,25%"
01/01/22,"12,67%","2,66%","18,46%","17,13%","-3,22%","-4,80%","0,15%","-7,81%","13,20%","-2,85%","13,58%","-20,86%","5,47%","10,88%","-1,31%","6,97%","9,25%"
02/01/22,"4,97%","13,20%","0,55%","-11,37%","1,52%","0,86%","-2,55%","2,25%","-1,68%","-8,97%","-10,49%","-14,32%","-1,48%","-3,54%","-7,23%","0,67%","10,75%"
03/01/22,"-1,63%","3,53%","7,60%","8,79%","1,31%","2,45%","17,25%","3,67%","7,03%","17,06%","8,26%","-16,25%","8,83%","8,70%","0,15%","5,88%","11,75%"
04/01/22,"-9,96%","-13,78%","-14,08%","-11,64%","-5,88%","-13,44%","-3,61%","1,65%","-15,46%","-14,71%","-14,66%","-5,14%","6,37%","-1,60%","-10,59%","-10,65%","11,75%"
05/01/22,"-0,73%","3,45%","9,16%","13,12%","-2,30%","-1,35%","3,19%","-6,13%","4,04%","-17,10%","11,33%","-10,92%","4,02%","-0,95%","7,55%","3,17%","12,75%"
06/01/22,"-7,35%","-11,87%","-14,32%","-17,55%","-5,73%","-7,28%","-11,54%","-11,95%","-13,97%","4,17%","-16,21%","-10,76%","9,20%","-7,61%","-7,39%","-12,22%","13,25%"
07/01/22,"20,11%","-9,32%","4,11%","1,33%","10,81%","8,87%","7,96%","1,10%","3,42%","5,84%","11,16%","2,67%","-0,85%","2,32%","-2,86%","4,58%","13,25%"
08/01/22,"-2,73%","-7,83%","8,87%","8,41%","2,25%","3,65%","7,37%","-7,64%","5,85%","0,89%","4,56%","16,23%","0,65%","-0,29%","-8,71%","5,98%","13,75%"
09/01/22,"-10,89%","11,06%","8,36%","4,54%","1,75%","4,36%","-11,74%","-16,38%","6,15%","12,76%","5,08%","-17,08%","-7,05%","-5,76%","0,54%","0,47%","13,75%"
10/01/22,"0,03%","-7,06%","8,01%","0,10%","2,92%","14,63%","5,51%","-0,64%","9,88%","22,58%","10,39%","16,57%","14,79%","11,74%","17,86%","5,31%","13,75%"
11/01/22,"-11,17%","24,43%","-15,63%","-24,27%","-0,50%","-13,23%","0,96%","-12,40%","-9,49%","-3,23%","-28,88%","-1,47%","-4,77%","8,79%","-0,09%","-3,11%","13,75%"
12/01/22,"-8,45%","3,63%","-3,92%","-2,80%","-9,20%","2,87%","-3,01%","-0,27%","-4,26%","-1,26%","-12,25%","5,46%","-12,02%","-2,13%","-9,69%","-2,21%","13,75%"
01/01/23,"6,21%","6,14%","1,31%","-7,75%","-6,11%","4,57%","2,83%","-9,09%","0,23%","-0,70%","5,46%","13,33%","-3,55%","-1,79%","-3,98%","3,13%","13,75%"
02/01/23,"-3,24%","-10,23%","0,39%","-6,94%","-2,00%","-9,06%","-8,94%","-4,53%","-3,58%","2,38%","-14,82%","1,46%","-16,93%","-9,72%","2,93%","-7,88%","13,75%"
03/01/23,"-7,36%","-6,08%","-2,75%","0,69%","6,78%","7,51%","8,76%","-7,24%","-0,12%","3,49%","-11,83%","22,57%","-3,08%","-1,57%","-13,77%","-2,95%","13,75%"
04/01/23,"1,06%","-10,34%","4,66%","5,03%","-1,19%","7,22%","7,65%","0,28%","5,45%","1,40%","-4,51%","-6,82%","1,70%","14,46%","-4,42%","2,47%","13,75%"
05/01/23,"9,72%","-12,63%","1,57%","11,32%","1,75%","11,43%","-5,41%","-6,34%","1,15%","-8,92%","20,53%","-2,08%","4,19%","-7,78%","11,79%","3,67%","13,75%"
06/01/23,"12,27%","0,64%","7,64%","5,88%","6,71%","4,39%","9,45%","3,85%","9,34%","0,37%","2,79%","-2,56%","11,87%","11,09%","-1,26%","8,62%","13,75%"
07/01/23,"5,21%","7,41%","0,77%","1,27%","-3,63%","-2,15%","-1,49%","7,29%","1,85%","5,59%","-6,45%","-0,16%","-2,81%","0,87%","8,35%","3,21%","13,75%"
08/01/23,"2,63%","-6,08%","-4,32%","-10,83%","-7,11%","-5,28%","-2,72%","-2,04%","-5,67%","-10,67%","-15,67%","5,16%","-9,18%","3,53%","4,24%","-5,22%","13,25%"
09/01/23,"8,11%","3,77%","-0,81%","-4,45%","-5,42%","0,51%","0,65%","-1,92%","-2,08%","1,08%","-17,92%","-12,38%","4,52%","3,41%","7,91%","0,71%","12,75%"
10/01/23,"0,29%","2,08%","-1,44%","-2,19%","-1,93%","-6,82%","-5,55%","10,41%","-4,64%","-9,42%","-8,89%","2,13%","-5,72%","-6,57%","-5,12%","-2,98%","12,75%"
11/01/23,"3,31%","6,79%","16,37%","15,10%","6,25%","8,47%","-5,88%","14,74%","16,97%","3,51%","28,91%","20,07%","15,94%","12,00%","4,20%","11,81%","12,25%"
12/01/23,"3,64%","4,44%","7,26%","4,92%","0,29%","4,59%","3,64%","7,07%","6,16%","7,65%","6,22%","4,06%","3,77%","9,09%","3,38%","5,24%","11,75%"
01/01/24,"9,03%","-13,04%","-3,57%","-10,74%","-4,85%","-15,02%","0,35%","-6,13%","-3,63%","-13,22%","-8,19%","1,73%","-3,89%","-2,25%","-7,48%","-4,91%","11,75%"
02/01/24,"-1,53%","-1,14%","3,48%","-11,01%","-3,90%","5,16%","3,83%","-1,59%","2,96%","12,62%","-1,57%","6,99%","6,38%","0,88%","8,77%","0,99%","11,25%"
03/01/24,"-7,18%","-9,65%","2,04%","3,64%","-0,72%","2,70%","4,81%","-7,00%","1,92%","4,03%","7,20%","31,00%","-4,23%","-6,05%","12,70%","-0,71%","10,75%"
04/01/24,"11,75%","3,96%","-9,95%","-1,84%","-2,76%","-6,76%","1,12%","8,64%","-9,38%","3,47%","-10,22%","0,12%","-9,66%","-5,67%","-9,02%","-1,72%","10,75%"
05/01/24,"-8,00%","-0,14%","-1,06%","-9,98%","-4,98%","-2,01%","1,83%","20,73%","1,76%","-5,19%","-15,57%","8,28%","-8,46%","-0,11%","-18,27%","-3,09%","10,50%"
06/01/24,"-1,93%","-1,56%","4,35%","-2,32%","-1,31%","2,40%","-0,60%","11,24%","0,92%","11,65%","-5,00%","-0,22%","3,00%","2,39%","15,75%","1,47%","10,50%"
07/01/24,"-1,70%","-0,95%","4,44%","0,40%","1,48%","7,21%","9,36%","4,40%","3,50%","18,30%","6,06%","19,22%","9,87%","8,15%","-5,68%","2,98%","10,50%"
08/01/24,"5,11%","-3,38%","8,00%","22,97%","10,48%","-0,15%","6,85%","3,73%","7,48%","6,66%","26,60%","6,67%","5,36%","3,31%","2,09%","6,34%","10,50%"
09/01/24,"-8,92%","6,39%","-1,62%","-6,20%","1,70%","-7,81%","-2,00%","-10,12%","1,00%","0,44%","4,30%","2,41%","-5,92%","-2,33%","-1,02%","-3,13%","10,75%"
